,이동시간
0,266.3269803309164
1,264.95763544092847
2,262.49227496990534
3,262.7401685881369
4,260.54991685268476
5,269.959377329326
6,273.5460732233207
7,278.27389742719674
8,284.87854385196147
9,282.82134180731475
10,294.9492635982301
11,300.5229270130459
12,316.26680494459663
13,323.9497619222961
14,322.3524773109072
15,315.86275350524147
16,311.51766432085407
17,307.8652073179705
18,308.0694759387109
19,307.4168084953201
20,297.8895619842411
21,290.21805927138075
22,286.2630248741822
23,278.4996685106496
